,month,attribution_technical,cost,subid,monthly_price,discount_price,account_creation_date,revenue_net,join_fee,rev,churn_proba,churn_threshold_50,churn_threshold_67,churn_threshold_90,diff,clv
0,2,facebook,6.221832749123686,21358385,4.7343,4.5141,2020-02-29 20:41:33,,,4.5875,0.946244563781213,1,1,1,,68.65740514691186
1,2,facebook,6.221832749123686,28779663,4.7343,4.5141,2020-02-22 13:16:34,,,4.5875,0.8843784573023362,1,1,0,,31.184268963336088
2,2,facebook,6.221832749123686,23536740,4.7343,4.5141,2020-02-17 22:00:03,,,4.8811,0.8977863883546346,1,1,0,,38.42010145979759
3,2,facebook,6.221832749123686,27320983,4.7343,4.5141,2020-02-29 21:51:06,,,4.7343,0.877216058891874,1,1,0,,30.267160926748133
4,2,facebook,6.221832749123686,25421133,4.7343,4.5141,2020-02-29 12:58:21,4.9545,0.3303,4.9545,0.8715636851383785,1,1,0,0.0,30.382322127568976
5,2,facebook,6.221832749123686,26512931,4.7343,4.5141,2020-02-22 22:10:47,,,4.5875,0.877216058891874,1,1,0,,29.135719262380015
6,2,facebook,6.221832749123686,23613428,4.7343,4.5141,2020-02-25 19:30:54,4.8811,0.6606,4.8811,0.8843784573023362,1,1,0,0.0,33.57825947293351
7,2,facebook,6.221832749123686,26996547,4.7343,4.5141,2020-02-18 12:10:56,,,4.9912,0.9671238460853875,1,1,1,,116.86043204784532
8,2,facebook,6.221832749123686,22652670,4.7343,4.5141,2020-02-29 11:13:19,4.5875,0.3303,4.5875,0.9339973668411753,1,1,1,0.0,56.26513295215786
9,2,facebook,6.221832749123686,23017721,4.7343,4.5141,2020-02-29 14:35:49,0.0,0.0,4.8811,0.8995908684633804,1,1,0,-4.8811,39.16317061969327
10,2,facebook,6.221832749123686,29533497,4.7343,4.5141,2020-02-23 15:16:05,,,4.5875,0.6985338678407421,1,1,0,,8.72067474833742
11,2,facebook,6.221832749123686,25490793,4.7343,4.5141,2020-02-26 20:51:52,,,4.917800000000001,0.8922944575981462,1,1,0,,36.620906648644166
12,2,facebook,6.221832749123686,21616630,4.7343,4.5141,2020-02-22 17:06:20,,,4.5875,0.8715636851383785,1,1,0,,27.670903247813968
13,2,facebook,6.221832749123686,29584676,4.7343,4.5141,2020-02-28 23:14:45,,,4.5875,0.8945589424798399,1,1,0,,34.54118640007822
14,2,facebook,6.221832749123686,23199404,4.7343,4.5141,2020-02-13 17:02:52,4.5875,0.3303,4.5875,0.877216058891874,1,1,0,0.0,29.135719262380015
15,2,facebook,6.221832749123686,29383567,4.7343,4.5141,2020-02-16 14:47:55,,,4.5875,0.877216058891874,1,1,0,,29.135719262380015
